title,latitude,longitude,description
getoutphilly,39.9535444,-75.1872192,"3180 Chestnut St, Philadelphia, PA"
getoutphilly,41.0703857,-75.0174778,"40.979754 -75.142189, Delaware Water Gap, PA"
PhillyMeditates,39.9525839,-75.1652215,"2125 Chestnut Street Parish Room, Ground Floor), Philadelphia, PA"
PhillyMeditates,39.950273,-75.223281,"5007 Cedar Ave, Philadelphia, PA"
NetworkingAfterWorkPhiladelphia,39.7448957,-75.547996,"902 N Market St, Wilmington, DE"
NetworkingAfterWorkPhiladelphia,39.9545023,-75.1807498,"1113-31 Market Street, Philadelphia, PA"
NetworkingAfterWorkPhiladelphia,39.9502685,-75.1669508,"1528 Sansom St, Philadelphia, PA"
NetworkingAfterWorkPhiladelphia,39.747418,-75.548827,"111 W. 11th Street, Wilmington, DE"
TeamPhilly,39.95356,-75.1962926,"3621 Walnut Street, Philadelphia, PA"
TeamPhilly,39.9506867,-75.1674365,"1601 Sansom St., Philadelphia , PA"
TeamPhilly,40.0254732,-75.2239919,"4358 Main St, Philadelphia, PA"
TeamPhilly,39.9541298,-75.1643991,"1401 John F Kennedy Blvd, Philadelphia, PA"
PhiladelphiaHappyHours,39.9485577,-75.1443304,"207 Chestnut Street, Philadelphia, Pe"
ypevents,39.9511659,-75.1686306,"111 S 17th St, Philadelphia, PA"
Philly-Newbies-and-Friends-20s-30s,39.9485577,-75.1443304,"207 Chestnut St, Philadelphia, PA"
Technically-Philly,35.613118,-90.3188426,"Broad & Market Streets, West Side of City Hall, Philadelphia, PA"
Technically-Philly,39.9521634,-75.1661894,"Centre Square East, 1500 Market Street, Philadelphia, PA"
Technically-Philly,39.9596055,-75.1710236,"1901 Vine St, Philadelphia, PA"
Technically-Philly,39.8893687,-75.1761117,"5000 South Broad Street, Philadelphia, PA"
PhiladelphiaAdventure,40.0587873,-76.5347467,"399 Furnace Rd, Marietta, PA 17547, Marietta, PA"
PhiladelphiaAdventure,40.4413047,-75.1002964,"150 Tory Rd, Pipersville, PA"
PhiladelphiaAdventure,40.0587873,-76.5347467,"399 Furnace Rd, Marietta, PA 17547, Marietta, PA"
PhiladelphiaAdventure,40.4413047,-75.1002964,"150 Tory Rd, Pipersville, PA"
PhiladelphiaAdventure,40.983296,-75.785048,"288 North Stagecoach Road, Weatherly, PA 18255, Weatherly, PA"
phillysocialadventures,39.9600698,-75.1373447,"Delaware and Columbus Str, Northern Liberties/ Fishtown, PA"
phillysocialadventures,39.9537058,-75.1565271,"1003 Arch Street, Philadelphia, PA"
phillysocialadventures,39.9535726,-75.1932774,"3432 Sansom Street, Philadelphia, PA"
phillysocialadventures,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
Adventures-and-Fun-Activities-in-Philly,39.6981006,-74.5273292,"3107 Route 563, Chatsworth, NJ"
PhiladelphiaHappyHour,39.9535726,-75.1932774,"3432 Sansom Street, Philadelphia, PA"
PhiladelphiaHappyHour,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
PhiladelphiaHappyHour,39.948818,-75.1456539,"239 Chestnut Street, Philadelphia, PA"
PhiladelphiaHappyHour,39.9480635,-75.1433055,"120 Chestnut St, Philadelphia, PA"
thinkingsociety,39.9545872,-75.167024,"1600 Arch Street, Philadelphia, PA"
